w,h,pixels,ms,s
341,256,87296,10238,10.238
682,512,349184,38963,38.963
1024,768,786432,86428,86.428
1365,1024,1397760,167252,167.252
1706,1280,2183680,266510,266.51
2048,1536,3145728,379973,379.973
